Link,Rating,Summary,Tag,Title,Would Make Again
/recipes/food/views/spicy-lightly-pickled-cucumbers,4/4,"recipeSpicy Lightly Pickled CucumbersThese quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread.Average user rating4/4Reviews1Percentage of reviewers who will make this recipe again100%",recipe,Spicy Lightly Pickled Cucumbers,100%
/recipes/food/views/cucumbers-with-ajo-blanco-sauce,4/4,"recipeCucumbers with Ajo Blanco SauceThink of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.Average user rating4/4Reviews1Percentage of reviewers who will make this recipe again100%",recipe,Cucumbers with Ajo Blanco Sauce,100%
/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,2/4,"recipeCold Beef Tenderloin with Tomatoes and CucumbersBeef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare.Average user rating2/4Reviews1Percentage of reviewers who will make this recipe again0%",recipe,Cold Beef Tenderloin with Tomatoes and Cucumbers,0%
/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,3/4,"recipeFried Fish Sandwiches with Cucumbers and Tartar SauceTake your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious).Average user rating3/4Reviews8Percentage of reviewers who will make this recipe again100%",recipe,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,100%
/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,3/4,recipeGrain Salad with Tomatoes and CucumbersWe call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.Average user rating3/4Reviews1Percentage of reviewers who will make this recipe again100%,recipe,Grain Salad with Tomatoes and Cucumbers,100%
/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,2/4,recipeCharred Cabbage with Goat Cheese Raita and CucumbersGo hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.Average user rating2/4Reviews1Percentage of reviewers who will make this recipe again0%,recipe,Charred Cabbage with Goat Cheese Raita and Cucumbers,0%
/recipes/food/views/cucumber-seaweed-salad,0/4,recipeCucumber-Seaweed SaladA ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.Average user rating0/4Reviews0Percentage of reviewers who will make this recipe again0%,recipe,Cucumber-Seaweed Salad,0%
/recipes/food/views/pineapple-shrimp-noodle-bowls,3.5/4,recipePineapple Shrimp Noodle BowlsQuickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.Average user rating3.5/4Reviews11Percentage of reviewers who will make this recipe again73%,recipe,Pineapple Shrimp Noodle Bowls,73%
/recipes/food/views/sambal-shrimp-lettuce-wraps,3.5/4,"recipeSambal Shrimp Lettuce WrapsThe shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce.Average user rating3.5/4Reviews2Percentage of reviewers who will make this recipe again50%",recipe,Sambal Shrimp Lettuce Wraps,50%
/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0/4,"recipeSmashed Cucumber Salad with Lemon and Celery SaltIf you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.Average user rating0/4Reviews0Percentage of reviewers who will make this recipe again0%",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,0%
/recipes/food/views/thai-style-squid-and-cucumber-salad,2.5/4,"recipeThai-Style Squid and Cucumber SaladTossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own.Average user rating2.5/4Reviews2Percentage of reviewers who will make this recipe again50%",recipe,Thai-Style Squid and Cucumber Salad,50%
/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,4/4,"recipeSpicy Grilled Chicken with Crunchy Fennel SaladThis chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead.Average user rating4/4Reviews1Percentage of reviewers who will make this recipe again100%",recipe,Spicy Grilled Chicken with Crunchy Fennel Salad,100%
